id,title,domain,severity,confidence,status,estimated_effort,suggested_owner,files,remediation
PRIV-001,No account deletion or data-erasure capability anywhere in the stack,Privacy,HIGH,Confirmed,Open,L,Backend lead,services/media-service/src/main/java/com/parkio/media/presentation/MediaController.java:137; services/notification-service/src/main/java/com/parkio/notification/presentation/NotificationController.java:89,"Design an account-deletion saga (auth-service originates a UserDeletionRequested event; each service erases/anonymizes its slice; media purges MinIO objects), plus a documented manual runbook as interim."
WEB-001,"Uncommitted landing/waitlist rework failed its own unit test at audit snapshot (fixed later the same day, still uncommitted)",Web frontend,MEDIUM,Confirmed,Partially mitigated,XS,Frontend engineer,frontend/apps/web/src/pages/LandingPage.test.tsx:55; frontend/apps/web/src/pages/landing/WaitlistForm.tsx; frontend/apps/web/src/main.tsx,"Commit the fix, re-run the FULL web suite green, and rebuild parkio-hostinger-landing.zip from the fixed tree before deploying; verify one live submit against a running gateway."
INFRA-001,"Single-node data plane: no HA Postgres/PITR, single Kafka broker, single MinIO",Infrastructure,HIGH,Confirmed,Accepted risk,XL,DevOps/SRE,docker/docker-compose.yml; docker/docker-compose.hosted-beta.yml; docs/releases/KNOWN-ISSUES.md; docs/architecture/production-readiness.md,"For beta: enforce backup schedule + weekly restore drill on the real host, monitor disk. For production: execute the managed-services migration already planned in production-readiness.md."
OSS-001,No open-source license selected; repository is source-visible only,Open source / legal,HIGH,Confirmed,Accepted risk,XS,Maintainer,LICENSE; README.md; docs/releases/KNOWN-ISSUES.md,"Maintainer/legal decision: pick a license, replace LICENSE, add NOTICE if required, update README/SECURITY/release docs. Not chosen by this audit per instructions."
SEC-001,Edge rate limiting likely fails open when Redis is down (framework default),Security,MEDIUM,Low confidence / requires runtime verification,Open,S,Backend engineer,services/gateway-service/src/main/resources/application.yml:38; services/gateway-service/src/main/java/com/parkio/gateway/infrastructure/config/RateLimitConfig.java,Verify behavior with Redis stopped (chaos test exists in repo scaffolding); add an Alertmanager rule on Redis down; consider a deny-fallback for /auth/** routes.
SEC-002,Redis is an availability single point of failure for login and waitlist,Security / resilience,MEDIUM,High confidence,Open,S,Backend engineer,services/auth-service/src/main/java/com/parkio/auth/infrastructure/security/RedisLoginFailureTracker.java; services/gateway-service/src/main/java/com/parkio/gateway/infrastructure/ratelimit/waitlist/RedisWaitlistRateLimiter.java,Document the posture; alert on Redis health; consider bounded in-memory fallback only if the posture decision calls for it.
PRIV-002,"Per-user location behavior logs grow forever (search + view logs, no retention)",Privacy / data,MEDIUM,Confirmed,Open,S,Backend engineer,services/parking-service/src/main/resources/db/migration/V5__create_parking_spot_view_logs.sql; services/parking-service/src/main/resources/db/migration/V6__create_parking_spot_search_logs.sql; services/parking-service/src/main/java/com/parkio/parking/infrastructure/lifecycle/RetentionCleanupJob.java,"Add a retention window (e.g. 90 days) to the existing RetentionCleanupJob pattern, or aggregate to daily counts and drop raw rows; document it on the privacy page."
PRIV-003,Legal privacy/terms pages are explicit placeholders; waitlist has no deletion/retention procedure,Privacy / legal,MEDIUM,Confirmed,Open,S,Founder + frontend,frontend/apps/web/src/pages/LegalPage.tsx:13; services/gateway-service/src/main/resources/db/migration (V1 waitlist_interest),Have counsel (or founder with template review) finalize beta-scope privacy/terms; add a waitlist-removal runbook or admin endpoint; define waitlist retention.
MOB-001,Mobile device runtime smoke never executed for the release line; store-readiness blockers open,Mobile,MEDIUM,Confirmed,Open,S,Mobile engineer,docs/releases/KNOWN-ISSUES.md; docs/certification/FINAL-FRONTEND-CERTIFICATION.md; docs/beta/mobile-release.md,Execute docs/beta/mobile-release.md smoke on a physical device and record evidence; close listing blockers.
SUP-001,"GitHub Actions are tag-pinned, not commit-SHA-pinned",Supply chain,MEDIUM,Confirmed,Open,XS,DevOps,.github/workflows/backend-ci.yml:33; .github/workflows/security-ci.yml; .github/workflows/release.yml,Pin every third-party action to a full commit SHA (Dependabot keeps them fresh); one PR.
